feature,coef,importance
1,0.0,
t10_ldb_col_p,2.176738558396846,0.17975344397663706
t10_ldb_col_p^2,-0.8620291917598049,
t10_ldb_hinci_m,2.4746695357070685,0.3250687328445044
t10_ldb_hinci_m t10_ldb_col_p,-0.6925329863142621,
t10_ldb_hinci_m t10_ldb_hisp_p,-0.01054439070921722,
t10_ldb_hinci_m t10_ldb_nhblk_p,0.30669115907324374,
t10_ldb_hinci_m t10_ldb_pop_d,0.08102091169031214,
t10_ldb_hinci_m^2,-0.9944940226147313,
t10_ldb_hisp_p,-0.6608662958234541,0.06764298150979967
t10_ldb_hisp_p t10_ldb_col_p,0.15730688465021125,
t10_ldb_hisp_p^2,0.8761297097874287,
t10_ldb_nhblk_p,-2.128929823294761,0.08010090741739942
t10_ldb_nhblk_p t10_ldb_col_p,-0.05398114172022551,
t10_ldb_nhblk_p t10_ldb_hisp_p,0.30752280546375893,
t10_ldb_nhblk_p^2,1.15299351539793,
t10_ldb_pop_d,0.4363721665918542,0.015101608970373714
t10_ldb_pop_d t10_ldb_col_p,-0.3155814972711712,
t10_ldb_pop_d t10_ldb_hisp_p,-0.15376550808339795,
t10_ldb_pop_d t10_ldb_nhblk_p,-0.07937443137691648,
t10_ldb_pop_d^2,0.12076016316883474,
