,adjusted_r2
linearLasso_varGroup1_00.pkl,0.48958503066084225
linearLasso_varGroup1_20.pkl,0.46790285029233936
linearLasso_varGroup1_40.pkl,0.4374805231672507
linearLasso_varGroup1_60.pkl,0.31696645599410955
linearLasso_varGroup2_00.pkl,0.5733907856046769
linearLasso_varGroup2_20.pkl,0.5544235214851867
linearLasso_varGroup2_40.pkl,0.5282255301263797
linearLasso_varGroup2_60.pkl,0.41048725778561634
linearLasso_varGroup3_00.pkl,0.043001119387759745
linearLasso_varGroup3_20.pkl,0.042025532564354706
linearLasso_varGroup3_40.pkl,0.0404589125153032
linearLasso_varGroup3_60.pkl,0.03151735748590112
linearLasso_varGroup4_00.pkl,0.5883081074495013
linearLasso_varGroup4_20.pkl,0.570120106652861
linearLasso_varGroup4_40.pkl,0.5460515530130399
linearLasso_varGroup4_60.pkl,0.42841959926015527
polyLasso_varGroup1_00.pkl,0.5392031581409256
polyLasso_varGroup1_20.pkl,0.5168022983176163
polyLasso_varGroup1_40.pkl,0.48456382570263923
polyLasso_varGroup1_60.pkl,0.35271212028221055
polyLasso_varGroup2_00.pkl,0.6029636890804093
polyLasso_varGroup2_20.pkl,0.5844548271358374
polyLasso_varGroup2_40.pkl,0.5601584911035717
polyLasso_varGroup2_60.pkl,0.4393068777962432
polyLasso_varGroup3_00.pkl,0.0637466972818509
polyLasso_varGroup3_20.pkl,0.05974880348035205
polyLasso_varGroup3_40.pkl,0.05308256791852817
polyLasso_varGroup3_60.pkl,0.03238050524256553
polyLasso_varGroup4_00.pkl,0.6083392264482892
polyLasso_varGroup4_20.pkl,0.5885819271195539
polyLasso_varGroup4_40.pkl,0.563957076499974
polyLasso_varGroup4_60.pkl,0.4413431261274714
